subject,model,n_windows,threshold,accuracy,balanced_accuracy,macro_f1,stress_precision,stress_recall,stress_f1,roc_auc,pr_auc,brier_score,log_loss,ece,fit_seconds,desktop_latency_ms,parameter_count,artifact_bytes
S15,1D-CNN,118,0.5,0.7033898305084746,0.7697368421052632,0.7033685268979386,0.5454545454545454,1.0,0.7058823529411765,0.949718045112782,0.8812668158432028,0.25603058508959076,1.7485539933292715,0.2893757899389564,11.58534570003394,9.158584999386221,6466,25864
S15,LSTM,118,0.5,0.8305084745762712,0.8471177944862156,0.8244047619047619,0.7037037037037037,0.9047619047619048,0.7916666666666666,0.9577067669172933,0.9313663085374444,0.10150628347321468,0.3557134630265791,0.12227022621022947,23.54004089999944,129.25677499733865,36066,144264
S16,Logistic Regression,116,0.5,0.7155172413793104,0.78,0.7154960981047938,0.5540540540540541,1.0,0.7130434782608696,1.0,1.0000000000000002,0.2630119577801718,1.8875402659440608,0.2983529860959921,0.06092009996064007,0.09470000513829291,277,2929
S16,Random Forest,116,0.5,0.896551724137931,0.8536585365853658,0.8772486772486773,1.0,0.7073170731707317,0.8285714285714286,0.9996747967479674,0.9994192799070847,0.08661139846743295,0.31762333241751894,0.24910919540229887,10.183643400087021,27.038050000555813,51704,4229995
S16,MLP,116,0.5,0.9655172413793104,0.9733333333333334,0.9630455559095253,0.9111111111111111,1.0,0.9534883720930233,1.0,1.0,0.03804424495644511,0.14520499467368142,0.06618423430353657,7.140152600011788,7.3197250021621585,19874,79496
S16,1D-CNN,116,0.5,0.9741379310344828,0.98,0.9721488595438175,0.9318181818181818,1.0,0.9647058823529412,1.0,1.0,0.02068814215417521,0.07475435060498631,0.03163615661936894,10.376153800054453,10.609070002101362,6466,25864
S16,LSTM,116,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.004709356861242738,0.02535839931787244,0.02222647460514745,22.2020235999953,74.12251500063576,36066,144264
S17,Logistic Regression,121,0.5,0.8842975206611571,0.8444444444444444,0.86572606214331,1.0,0.6888888888888889,0.8157894736842105,0.9961988304093568,0.9936804825115676,0.08748599844231632,0.5238103954249803,0.10698383645539256,0.05652339989319444,0.08307999814860523,277,2929
S17,Random Forest,121,0.5,0.8264462809917356,0.7666666666666666,0.7871324453380246,1.0,0.5333333333333333,0.6956521739130435,0.9793859649122807,0.9646713921929876,0.11530688705234159,0.3386837774227149,0.1619834710743802,10.221270199981518,24.944305000826716,47972,3931408
S17,MLP,121,0.5,0.9090909090909091,0.8777777777777778,0.8966374155470995,1.0,0.7555555555555555,0.8607594936708861,0.9953216374269006,0.9918447421700983,0.07062898525943948,0.20858483611421919,0.09550409316964999,6.942047200049274,4.97013499843888,19874,79496
S17,1D-CNN,121,0.5,0.8677685950413223,0.8222222222222222,0.8442728442728442,1.0,0.6444444444444445,0.7837837837837838,0.9994152046783625,0.9990230810520665,0.09251882700765603,0.27279484935806486,0.12156834887397756,7.851905099931173,7.880775001831353,6466,25864
S17,LSTM,121,0.5,0.8760330578512396,0.8333333333333333,0.8550898203592814,1.0,0.6666666666666666,0.8,0.9897660818713451,0.9827969543038081,0.10914878556196152,0.4942571966331319,0.12614221167272008,21.858457199996337,101.51452999562025,36066,144264
